Key,Description,Standard,CHT,EN,JP,CHS
SAY.Flowchart.45.Mia,,嗚...好癢...走開!,嗚...好癢...走開!,Aah... It tickles... Go away!,ああ... くすぐったい... あっち行け,呜...好痒...走开!
SAY.Flowchart.46.,,"米婭嘗試擺動手腳驅散觸手,但被五花大綁之下效果並不彰。","米婭嘗試擺動手腳驅散觸手,但被五花大綁之下效果並不彰。","Mia tries to move her arms and legs to dislodge the tentacles, but being tied up doesn't help.",ミアは手足を動かして触手を振りほどこうとするが、縛られているためうまくいかない。,"米娅尝试摆动手脚驱散触手,但被五花大绑之下效果并不彰。"
SAY.Flowchart.47.,,"隨後觸手像收到同樣的訊號,同時開始挑逗米婭的身體各處。","隨後觸手像收到同樣的訊號,同時開始挑逗米婭的身體各處。","Then, as if receiving the same signal, the tentacles began to tease Mia's body at the same time.",すると、同じ合図を受け取ったかのように、触手が同時にミアの身体をいじり始めた。,"随后触手像收到同样的讯号,同时开始挑逗米娅的身体各处。"
SAY.Flowchart.48.Mia,,诶?那裏...那裏不可以!,??那裏...那裏不可以!,Eh? There... Not over there!,あれ？ そこ... そこじゃない,诶?那里...那里不可以!
SAY.Flowchart.49.,,"觸手在緊緻的小穴外挑逗著,觸手上的黏液起到了很好的潤滑效果。即便是靦腆的初穴,也很快便的濕潤了起來。","觸手在緊緻的小穴外挑逗著,觸手上的黏液起到了很好的潤滑效果。即便是靦腆的初穴,也很快便的濕潤了起來。","The touch was teasing the outside of the tight pussy, and the slime on the touch had a good lubricating effect. Even the shy first time pussy was soon wet.",触手はきつい小さな穴の外側を嬲り、触手についた粘液は良い潤滑効果を発揮した。 恥ずかしがっていた最初のポイントもすぐにしっとりしました。,"触手在紧致的小穴外挑逗着,触手上的黏液起到了很好的润滑效果。即便是腼腆的初穴,也很快便的湿润了起来。"
SAY.Flowchart.50.Mia,,嗯...嗯..不可以...,嗯...嗯..不可以...,Hmm... Mmmm... No way...,うーん... うーん... まさか...,嗯...嗯..不可以...
SAY.Flowchart.51.Mia,,嗚..這是什麼感覺...,嗚..這是什麼感覺...,Whoo... What a feeling...,フー... なんて気持ちだ...,呜..这是什么感觉...
SAY.Flowchart.52.,,"在米婭身體稍微放鬆的時候,觸手的動作突然劇烈了起來。","在米婭身體稍微放鬆的時候,觸手的動作突然劇烈了起來。","When Mia's body relaxed slightly, the movements of the tentacles suddenly became violent.",ミアの体が少し緩んだとき、突然触手の動きが激しくなった。,"在米娅身体稍微放松的时候,触手的动作突然剧烈了起来。"
SAY.Flowchart.53.Mia,,咦?咦?嗚咿....!,咦?咦?嗚咿....!,Huh? Huh? Uh-huh....!,え？ え？えええおおおおお？,咦?咦?呜咿....!
SAY.Flowchart.54.,,"觸手開始朝著小穴裡頭邁進,觸女撕裂的痛感,讓米婭發出痛苦的低鳴。","觸手開始朝著小穴裡頭邁進,觸女撕裂的痛感,讓米婭發出痛苦的低鳴。","The tentacles began to work their way into her pussy, and the pain that ripped through her caused Mia to whimper in agony.",触手が膣内に向かって動き始め、触手が引き裂かれる痛みにミアはうめき声を上げた。,"触手开始朝着小穴里头迈进,触女撕裂的痛感,让米娅发出痛苦的低鸣。"
SAY.Flowchart.55.Mia,,好痛!,好痛!,It hurts!,痛いんだ！,好痛!
SAY.Flowchart.56.,,"來不及讓米婭反應和習慣,觸手不安分的開始抽動,特有的形狀讓小穴內被完整的填滿。","來不及讓米婭反應和習慣,觸手不安分的開始抽動,特有的形狀讓小穴內被完整的填滿。","Before Mia could react and adapt, the tentacles began to twitch restlessly, their unique shapes filling the small hole completely.",ミアが反応して慣れるまでの十分な時間がないまま、触手は落ち着きなくピクピクし始め、独特の形状が小さな穴を完全に埋めました。,"来不及让米娅反应和习惯,触手不安分的开始抽动,特有的形状让小穴内被完整的填满。"
SAY.Flowchart.57.Mia,,嗚咿...好奇怪的感覺...,嗚咿...好奇怪的感覺...,Eeee... What a strange feeling...,ええっ...。 なんか変な感じ...。,呜咿...好奇怪的感觉...
SAY.Flowchart.58.,,"隨著觸手的抽插,大量的愛液開始分泌,不受控制地從小穴流了出來。","隨著觸手的抽插,大量的愛液開始分泌,不受控制地從小穴流了出來。","With the thrusting of the tentacles, a large amount of love juice began to secrete and flowed out of her pussy uncontrollably.",触手の突き上げとともに、大量の愛液が分泌され始め、アソコから止めどなく流れ出した。,"随着触手的抽插,大量的爱液开始分泌,不受控制地从小穴流了出来。"
SAY.Flowchart.59.Mia,,好奇怪..身體開始變得好奇怪...,好奇怪..身體開始變得好奇怪...,It's weird. The body is starting to get weird...,奇妙だ。 体が変な感じになってきた...。,好奇怪..身体开始变得好奇怪...
SAY.Flowchart.60.,,"身體變得滾燙,刺激大腦的痛楚使米婭得意識變得模糊不清。","身體變得滾燙,刺激大腦的痛楚使米婭得意識變得模糊不清。","The body became hot, and the pain in the brain blurred Mia's consciousness.",体が熱くなり、脳を刺激する痛みにミアの意識は朦朧としていた。,"身体变得滚烫,刺激大脑的痛楚使米娅得意识变得模糊不清。"
SAY.Flowchart.61.Mia,,輕飄飄的...好奇怪...,輕飄飄的...好奇怪...,It's so light... So strange...,とても軽い... とても奇妙だ...,轻飘飘的...好奇怪...
SAY.Flowchart.62.,,米婭開始無法分辨新的刺激感究竟是痛...還是...舒服?,米婭開始無法分辨新的刺激感究竟是痛...還是...舒服?,Mia couldn't begin to tell if the new excitement was pain... Or... Comfort?,ミアは新しい刺激感が痛みなのか...それとも快適なのか分からなくなった？,米娅开始无法分辨新的刺激感究竟是痛...还是...舒服?
SAY.Flowchart.63.,,"小穴突然像是觸電般開始痙攣,米婭的腰肢抽動了一下,臉上出現了詫異的表情。","小穴突然像是觸電般開始痙攣,米婭的腰肢抽動了一下,臉上出現了詫異的表情。","Her pussy suddenly began to spasm as if electrified, and Mia's hips twitched, a surprised expression appearing on her face.",彼女のアソコは突然、電気が走ったように痙攣し始め、ミアの腰は痙攣し、驚いた表情を浮かべた。,"小穴突然像是触电般开始痉挛,米娅的腰肢抽动了一下,脸上出现了诧异的表情。"
SAY.Flowchart.65.Mia,,呼...哈...呼...哈....好像有甚麼東西...要來了....,呼...哈...呼...哈....好像有甚麼東西...要來了....,Hoo... Ha... Hoo... Ha .... There seems to be something... It's coming ....,フー... ハ... フー... ハ... 何かあるようだ．．． 来るぞ．,呼...哈...呼...哈....好像有什么东西...要来了....
SAY.Flowchart.64.Mia,,呼...要來了...那個東西要來了!,呼...要來了...那個東西要來了!,Hoo... It's coming... That thing is coming!,フフ…来る…あのものが来る！,呼...要来了...那个东西要来了!
SAY.Flowchart.66.,,"同時,觸手像也知道一樣,動作開始強烈了起來,伴隨著米婭的喘息和越來越大的水聲,米婭迎來了人生第一次高潮。","同時,觸手像也知道一樣,動作開始強烈了起來,伴隨著米婭的喘息和越來越大的水聲,米婭迎來了人生第一次高潮。","At the same time, the tentacles began to move more intensely as if they knew it too, and with Mia's gasps and louder and louder sounds of water, Mia came for the first time in her life.",同時に触手もそれを知っているかのように激しく動き始め、ミアのあえぎ声と水の音がどんどん大きくなり、ミアは生まれて初めてのオーガズムを迎えた。,"同时,触手像也知道一样,动作开始强烈了起来,伴随着米娅的喘息和越来越大的水声,米娅迎来了人生第一次高潮。"
SAY.Flowchart.67.,,"米婭被強力的快感不斷地衝擊大腦,徹底的失去思考的能力。","米婭被強力的快感不斷地衝擊大腦,徹底的失去思考的能力。","Mia's brain was pounding with powerful pleasure, and she was completely incapable of thinking.",ミアの脳は強烈な快感でドキドキし、思考することはまったくできなかった。,"米娅被强力的快感不断地冲击大脑,彻底的失去思考的能力。"
SAY.Flowchart.68.Mia,,嗯嗯!嗚嗚...要來了!那個又要來了!,嗯嗯!嗚嗚...要來了!那個又要來了!,Uh-huh! Whoo-hoo... It's coming! That one's coming again!,ふふふ！ うっほー... 来るぞ また来るぞ,嗯嗯!呜呜...要来了!那个又要来了!
SAY.Flowchart.69.,,"潮水般的愛液與黏液充滿了小穴,在又來一次的高潮中終於承受不住,融合的液體朝著入口倒流而去。","潮水般的愛液與黏液充滿了小穴,在又來一次的高潮中終於承受不住,融合的液體朝著入口倒流而去。","A tidal wave of love juice and mucus filled the pussy, and in the midst of another orgasm it finally became too much to bear, and the fused fluids flowed backwards towards the entrance.",愛液と粘液の高波がアソコを満たし、さらなるオーガズムのさなか、ついに耐えきれなくなり、融合した体液が入り口に向かって逆流した。,"潮水般的爱液与黏液充满了小穴,在又来一次的高潮中终于承受不住,融合的液体朝着入口倒流而去。"
SAY.Flowchart.70.Mia,,咕嗚..呼...,咕嗚..呼...,Guwu...hu...,ぐぅ…ふぅ…,咕呜..呼...
SAY.Flowchart.71.,,"過多的快感在瞬間被灌進米婭的大腦內,米婭只能發出迷幻的咽嗚聲。","過多的快感在瞬間被灌進米婭的大腦內,米婭只能發出迷幻的咽嗚聲。","Too much pleasure was poured into Mia's brain in an instant, and Mia could only make a psychedelic whimper.",あまりにも多くの快楽が一瞬にしてミアの脳裏に注ぎ込まれ、ミアはサイケデリックな泣き声をあげることしかできなかった。,"过多的快感在瞬间被灌进米娅的大脑内,米娅只能发出迷幻的咽呜声。
"
SAY.Flowchart.72.,,"隨後米婭眼前一片漆黑,徹底地失去了意識。","隨後米婭眼前一片漆黑,徹底地失去了意識。",Then Mia goes black and loses consciousness completely.,そしてミアは意識を失い、真っ暗になる。,"随后米娅眼前一片漆黑,彻底地失去了意识。"
SAY.Flowchart.6.,,"伊莉絲巧聲無息的移動到床邊,用手指比了個噓的手勢。","伊莉絲巧聲無息的移動到床邊,用手指比了個噓的手勢。",Elyse moved silently to the side of the bed and made a shushing gesture with her fingers.,エリーゼは静かにベッドサイドに移動し、指でシュッシュするようなジェスチャーをした。,"伊莉丝巧声无息的移动到床边,用手指比了个嘘的手势。"
SAY.Flowchart.7.,,"男子配合的向後一躺,任憑伊莉絲的腳指在身體上游移。","男子配合的向後一躺,任憑伊莉絲的腳指在身體上游移。",The man co-operated by lying back and letting Elyse's fingers run over his body.,男は仰向けになり、エリーゼのつま先を彼女の体の周りでさまよわせてください。,"男子配合的向后一躺,任凭伊莉丝的脚指在身体上游移。"
SAY.Flowchart.8.,,"身上的衣服被伊莉絲靈巧的腳趾脫的精光,伸出手想把伊莉絲逆推倒,卻被伊莉絲一腳踩回,那力道強的讓男子一驚。","身上的衣服被伊莉絲靈巧的腳趾脫的精光,伸出手想把伊莉絲逆推倒,卻被伊莉絲一腳踩回,那力道強的讓男子一驚。","The clothes on her body were stripped off by Elise's dexterous toes, and she reached out her hand to push Elise backward, but Elise stomped her foot back, and the force was so strong that the man was shocked.",エリーゼの器用なつま先によって彼女の体に着せられていた衣服は剥ぎ取られ、彼女はエリーゼを後ろに押しやろうと手を伸ばしたが、エリーゼは足を踏み返した。,"身上的衣服被伊莉丝灵巧的脚趾脱的精光,伸出手想把伊莉丝逆推倒,却被伊莉丝一脚踩回,那力道强的让男子一惊。"
SAY.Flowchart.114.Elise,,不可以亂動喲。,不可以亂動喲。,Don't move around.,動くな。,不可以乱动哟。
SAY.Flowchart.115.,,"伊莉絲邪媚的一笑,收回魔力,身上散發著淡藍的鱗光。","伊莉絲邪媚的一笑,收回魔力,身上散發著淡藍的鱗光。","Elise smiled evilly, withdrew her magic power, and her body exuded light blue light.",エリスは邪悪な笑みを浮かべ魔法を取り戻しましょう、体から水色のうろこ状の光を発した。,"伊莉丝邪媚的一笑,收回魔力,身上散发着淡蓝的鳞光。"
SAY.Flowchart.116.,,"由魔力構成的短褲蕩然無存,健康而白皙的大腿和飽滿的小穴從下方一覽無遺。","由魔力構成的短褲蕩然無存,健康而白皙的大腿和飽滿的小穴從下方一覽無遺。","The shorts made of magic were gone, and her healthy and white thighs and plump pussy were clearly visible from below.",魔法のショーツはなくなり、健康的な白い太ももとふくよかなアソコが下から見えた。,"由魔力构成的短裤荡然无存,健康而白皙的大腿和饱满的小穴从下方一览无遗。"
SAY.Flowchart.117.???,,哦!,哦!,oh!,おお！,哦!
SAY.Flowchart.118.,,"可這時男子也注意到了一件事,伊莉絲的腰間有個鮮紅色的印記。","可這時男子也注意到了一件事,伊莉絲的腰間有個鮮紅色的印記。","But at this time, the man also noticed something. There was a bright red mark on Elise's waist.",しかしこの時、男もエリーゼの腰にある真っ赤な跡に気づいた。,"可这时男子也注意到了一件事,伊莉丝的腰间有个鲜红色的印记。"
SAY.Flowchart.119.Elise,,"嗯,被你注意到了嗎?","嗯,被你注意到了嗎?","Well, did you notice it?",ん、お気づきだろうか？,"嗯,被你注意到了吗?"
SAY.Flowchart.120.,,"伊莉絲湊近了臉龐,輕輕的吹了口氣,酥麻的感覺像一道電流從大腦流遍全身,讓我全身失去了力氣。","伊莉絲湊近了臉龐,輕輕的吹了口氣,酥麻的感覺像一道電流從大腦流遍全身,讓我全身失去了力氣。","Elise came close to her face and blew gently. A numb feeling flowed from my brain through my body like an electric current, making me lose all my strength.",エリゼが私の顔に近づき、そっと息を吹きかけると、脳裏から電流のように痺れた感覚が体中に流れ、全身の力が抜けた。,"伊莉丝凑近了脸庞,轻轻的吹了口气,酥麻的感觉像一道电流从大脑流遍全身,让我全身失去了力气。"
SAY.Flowchart.121.Elise,,"我可是,惡魔喲。","我可是,惡魔喲。",I am a demon,俺は悪魔だ。,"我可是,恶魔哟。"
SAY.Flowchart.122.???,,"我發不出任何聲音,身體好像被魔力封印了,使不上力,冷汗不斷的冒出來,沾濕了被褥。","我發不出任何聲音,身體好像被魔力封印了,使不上力,冷汗不斷的冒出來,沾濕了被褥。","I can't make any sound, my body seems to be sealed by magic.Unable to exert any strength, cold sweat continued to break out, soaking the bedding.",声も出せず、体は魔法で封印されているようで、力も出ず、冷や汗が出続けて布団を濡らした。,"我发不出任何声音,身体好像被魔力封印了,使不上力,冷汗不断的冒出来,沾湿了被褥。"
SAY.Flowchart.123.???,,"但伊莉絲並沒有讓我有太多思考的時間,他用腳溫柔的刺激著我的小兄弟,雖然還未從驚詫的情緒中平復,但伊莉絲熟練的技法很快就讓小弟弟堅挺無比。","但伊莉絲並沒有讓我有太多思考的時間,他用腳溫柔的刺激著我的小兄弟,雖然還未從驚詫的情緒中平復,但伊莉絲熟練的技法很快就讓小弟弟堅挺無比。","But Elise didn't let me have too much time to think. He gently stimulated my little brother with his feet. Although I have not yet recovered from the surprise,, Elise's skillful techniques soon made my little brother Extremely strong.",しかし、エリゼは私に考える暇を与えず、私のペニスを足で優しく刺激した。私はショックから立ち直っていなかったが、エリゼの巧みなテクニックですぐにペニスは岩のように硬くなった。,"但伊莉丝并没有让我有太多思考的时间,他用脚温柔的刺激着我的小兄弟,虽然还未从惊诧的情绪中平复,但伊莉丝熟练的技法很快就让小弟弟坚挺无比。"
SAY.Flowchart.124.Elise,,咕姆、咕姆....,咕姆、咕姆....,"Goomu, goomu...",グム、グム…,咕姆、咕姆....
SAY.Flowchart.125.,,"伊莉絲用腳裹住了整根陰莖,那包覆感讓人無法相信是一個人的腳掌。","伊莉絲用腳裹住了整根陰莖,那包覆感讓人無法相信是一個人的腳掌。","Elise wrapped her entire penis with her feet, and the wrapping feeling was unbelievable that it was the sole of a person's foot.",エリゼは、それが人間の手のひらとは思えないほど、ペニス全体を足で包み込んだ。,"伊莉丝用脚裹住了整根阴茎,那包覆感让人无法相信是一个人的脚掌。"
SAY.Flowchart.126.,,"不知怎地,在恐懼下變得異常的敏感的弟弟,在精神和肉體的雙重刺激下更加的腫脹起來。","不知怎地,在恐懼下變得異常的敏感的弟弟,在精神和肉體的雙重刺激下更加的腫脹起來。","Somehow, my younger brother, who had become extremely sensitive under fear, became even more swollen under the dual stimulation of both mind and body.",どういうわけか、恐怖で異常に敏感になっていた弟は、精神的にも肉体的にも刺激を受けてさらに膨れ上がった。,"不知怎地,在恐惧下变得异常的敏感的弟弟,在精神和肉体的双重刺激下更加的肿胀起来。"
SAY.Flowchart.127.Elise,,哦! 好燙呢!,哦! 好燙呢!,Oh! It’s so hot!,ああ、とても暑いです！,哦! 好烫呢!
SAY.Flowchart.128.,,"被裹住的肉棒在腳掌裡一跳一跳的,熱氣不時的從腳趾間散發出來。","被裹住的肉棒在腳掌裡一跳一跳的,熱氣不時的從腳趾間散發出來。","The wrapped cock jumped in the sole of the foot, and heat radiated from between the toes from time to time.",包まれたチンポが足の手のひらで跳ねた、足の指の間からは時折熱風が吹き出していた。,"被裹住的肉棒在脚掌里一跳一跳的,热气不时的从脚趾间散发出来。"
SAY.Flowchart.129.???,,咕嗚..!,咕嗚..!,Goooo..!,ぐぅ…ふぅ…,咕呜..!
SAY.Flowchart.131.,,"伊莉絲突然強行的將包皮撥開,突如而來的刺激讓我眼前一白,回過神來看見伊莉絲使用魔力在進行加速了。","伊莉絲突然強行的將包皮撥開,突如而來的刺激讓我眼前一白,回過神來看見伊莉絲使用魔力在進行加速了。","Elise suddenly pushed her foreskin away forcefully, and the sudden stimulation made my eyes go blank. When I came back to my senses, I saw Elise using magic power to accelerate.",エリゼがいきなり包皮を無理やり開いた。突然の刺激に私の目は白目をむき、振り返るとエリゼが魔法を使って加速していた。,"伊莉丝突然强行的将包皮拨开,突如而来的刺激让我眼前一白,回过神来看见伊莉丝使用魔力在进行加速了。"
SAY.Flowchart.130.,,"使用魔力加速的時候,伊莉絲身上的魔力相對淡薄,也導致了衣服變成了薄紗的質感,裏頭粉嫩的白兔依稀可見。","使用魔力加速的時候,伊莉絲身上的魔力相對淡薄,也導致了衣服變成了薄紗的質感,裏頭粉嫩的白兔依稀可見。","When using magic power to accelerate, the magic power on Elise's body was relatively weak, which also caused the clothes to turn into a gauze texture, with the pink white rabbit inside vaguely visible.",魔力で加速すると、エリーゼの体にかかった魔力は比較的薄く、そのためドレスはモスリンのような質感になり、中のピンクの白ウサギがぼんやりと見えた。,"使用魔力加速的时候,伊莉丝身上的魔力相对淡薄,也导致了衣服变成了薄纱的质感,里头粉嫩的白兔依稀可见。"
SAY.Flowchart.132.,,嗚啊啊??!!,嗚啊啊??!!,Uaaah??!!,あああああああああああああああああ？,呜啊啊??!!
SAY.Flowchart.133.,,"這輩子沒有經歷過同等的刺激,忍不住發出了驚叫,雖然快速移動的腳趾給足了快感,但腳掌溫柔的包覆性卻又減少了過度的摩擦。","這輩子沒有經歷過同等的刺激,忍不住發出了驚叫,雖然快速移動的腳趾給足了快感,但腳掌溫柔的包覆性卻又減少了過度的摩擦。","I have never experienced the same stimulation in my life, and I couldn't help but scream. Although the fast moving toes gave me a lot of pleasure, the gentle covering of the soles of my feet reduced excessive friction.",人生で一度も経験したことのない刺激に、思わず声を上げてしまいました。足の指の動きの速さは快感でしたが、足裏を優しく覆うことで余計な摩擦が軽減されました。,"这辈子没有经历过同等的刺激,忍不住发出了惊叫,虽然快速移动的脚趾给足了快感,但脚掌温柔的包覆性却又减少了过度的摩擦。"
SAY.Flowchart.134.???,,好像...要...嗚!,好像...要...嗚!,As if... To... woo!,まるで... に... フー！,好像...要...呜!
SAY.Flowchart.135.,,"伊莉絲一邊注意著腳趾的動作,一邊不忘用足底板對蛋蛋進行照顧,腳掌的餘溫經由溫柔的按摩再度傳回我的身體。","伊莉絲一邊注意著腳趾的動作,一邊不忘用足底板對蛋蛋進行照顧,腳掌的餘溫經由溫柔的按摩再度傳回我的身體。","Elise paid attention to the movements of her toes, while not forgetting to use the soles of my feet to take care of my balls, the residual warmth of the soles of my feet was transmitted back to my body through gentle massage.",エリゼはつま先を見ていた、足の裏でボールをケアしながら、彼女の足の余熱が優しいマッサージを通して私の体に伝わってきた。,"伊莉丝一边注意着脚趾的动作,一边不忘用足底板对蛋蛋进行照顾,脚掌的余温经由温柔的按摩再度传回我的身体。"
SAY.Flowchart.136.Elise,,可以哦!盡情地射在我的身上吧!,可以哦!盡情地射在我的身上吧!,It's okay! Cum on me as much as you want!,もちろん！,可以哦!尽情地射在我的身上吧!
SAY.Flowchart.137.,,"伊莉絲的眼睛和印記散發著紅光,彷彿渴望著白濁的液體。","伊莉絲的眼睛和印記散發著紅光,彷彿渴望著白濁的液體。","Elise's eyes and marks glowed red, as if she was longing for the white liquid.",エリーゼの目と痕が、まるで白い液体を待ち望んでいるかのように赤く光った。,"伊莉丝的眼睛和印记散发着红光,仿佛渴望着白浊的液体。"
SAY.Flowchart.138.???,,我要射了!,我要射了!,I'm going to cum!,イキそうだ。,我要射了!
SAY.Flowchart.139.,,"在腳趾和腳掌無限的刺激下,我終於沒能把持住。濃稠的液體,像噴泉一樣在一瞬間爆發,噴濺到了伊莉絲的身上,白皙的乳房和子上沾滿了精液。","在腳趾和腳掌無限的刺激下,我終於沒能把持住。濃稠的液體,像噴泉一樣在一瞬間爆發,噴濺到了伊莉絲的身上,白皙的乳房和子上沾滿了精液。","Under the endless stimulation of my toes and soles, I finally couldn't control it. The thick liquid erupted in an instant like a fountain, splashing onto Elise's body, and her white breasts and breasts were covered with semen.",足の指と足の裏への絶え間ない刺激を受けて、私はついにそれを制御できなくなりました。濃厚な液体が一瞬にして噴水のように噴出し、エリーゼの体に飛び散り、白い乳房は精液で覆われた。,"在脚趾和脚掌无限的刺激下,我终于没能把持住。浓稠的液体,像喷泉一样在一瞬间爆发,喷溅到了伊莉丝的身上,白皙的乳房和子上沾满了精液。"
SAY.Flowchart.140.Elise,,還沒有結束喔~,還沒有結束喔~,It’s not over yet~,まだ終わっていない。,还没有结束喔~
SAY.Flowchart.141.,,"身體不受控制的弓起,不聽使喚的噴泉開始了第二次的噴發,這次的噴發,比起第一次更加的洶湧,如同洩洪一般,浸濕了伊莉絲的身體。","身體不受控制的弓起,不聽使喚的噴泉開始了第二次的噴發,這次的噴發,比起第一次更加的洶湧,如同洩洪一般,浸濕了伊莉絲的身體。","The body arched uncontrollably, and the unruly fountain began to erupt for the second time. This eruption was more turbulent than the first, like a flood, soaking Elise's body.",彼の体は抑えきれずに弓なりになった、制御不能の噴水が二度目の噴出を始めた。今回は一度目よりもさらに激しく、洪水のようにエリゼの身体を濡らした。,"身体不受控制的弓起,不听使唤的喷泉开始了第二次的喷发,这次的喷发,比起第一次更加的汹涌,如同泄洪一般,浸湿了伊莉丝的身体。"
SAY.Flowchart.142.Elise,,"嗯..呵呵,表現的不錯嘛。","嗯..呵呵,表現的不錯嘛。","Hmm.. Haha, you performed well.",うーん、ははは、よくやった。,"嗯..呵呵,表现的不错嘛。"
SAY.Flowchart.143.,,"伊莉絲舔了舔手上被一起濺到的精液,慢慢地從床邊站起。","伊莉絲舔了舔手上被一起濺到的精液,慢慢地從床邊站起。",Elise licked the semen that was splashed on her hand and slowly stood up from the bed.,エリーゼは手に飛び散った精液を舐め、ゆっくりとベッドから立ち上がった。,"伊莉丝舔了舔手上被一起溅到的精液,慢慢地从床边站起。"
SAY.Flowchart.144.Elise,,"呵呵,祝你好夢~","呵呵,祝你好夢~","Haha, I wish you sweet dreams~",ハハ、良い夢を見ることを祈っている。,"呵呵,祝你好梦~"
