Key,Description,Standard,CHT,EN,JP,CHS
SAY.Flowchart.60.,,"伊莉絲聽出了語氣中按耐不住的情緒,卻慢條斯理的整理起自己的翅膀。","伊莉絲聽出了語氣中按耐不住的情緒,卻慢條斯理的整理起自己的翅膀。",,,
SAY.Flowchart.61.Wizard,,"不好意思了,惡魔小姐。","不好意思了,惡魔小姐。",,,
SAY.Flowchart.62.Wizard,,我忍不住了。,我忍不住了。,,,
SAY.Flowchart.63.Elise,,嗯?,嗯?,,,
SAY.Flowchart.16.Stella,,"我的主啊!請賜給我智慧,讓我能啟迪他人,請幫助我調整步伐,能行在祢為我預備的道路上。","我的主啊!請賜給我智慧,讓我能啟迪他人,請幫助我調整步伐,能行在祢為我預備的道路上。",,,
SAY.Flowchart.17.,,"少女完成了今日的祝禱,從台下走下來,餘光瞥到了一旁陰暗的角落,那兒原本佇立了一個人。","少女完成了今日的祝禱,從台下走下來,餘光瞥到了一旁陰暗的角落,那兒原本佇立了一個人。",,,
SAY.Flowchart.18.,,(晚上),(晚上),,,
SAY.Flowchart.64.Wizard,,"親愛又美麗的小姐,你好。","親愛又美麗的小姐,你好。",,,
SAY.Flowchart.65.Wizard,,"對於我現在會出現在這,你可能會感到些許的意外,但是請不要害怕。","對於我現在會出現在這,你可能會感到些許的意外,但是請不要害怕。",,,
SAY.Flowchart.66.Wizard,,"我是來自XXX教會的成員,想必你對這個名字不會太陌生。","我是來自XXX教會的成員,想必你對這個名字不會太陌生。",,,
SAY.Flowchart.67.Stella,,XXX教會...?!,XXX教會...?!,,,
SAY.Flowchart.68.Stella,,為什麼高層教會的人會出現在這裡?,為什麼高層教會的人會出現在這裡?,,,
SAY.Flowchart.69.Wizard,,"我是來試驗你對神的虔誠的,來吧,年輕的女孩,一心一意的用你的身心服侍你最敬愛的神吧!","我是來試驗你對神的虔誠的,來吧,年輕的女孩,一心一意的用你的身心服侍你最敬愛的神吧!",,,
SAY.Flowchart.26.,,(叩叩叩),(叩叩叩),,,
SAY.Flowchart.27.Wizard,,請進。,請進。,,,
SAY.Flowchart.28.Stella,,您好...,您好...,,,
SAY.Flowchart.70.Wizard,,"歡迎,美麗的少女。又或者,我應該稱您,修女大人?","歡迎,美麗的少女。又或者,我應該稱您,修女大人?",,,
SAY.Flowchart.71.Stella,,"神啊!我要將我的軟弱、侷限和缺點都交給祢,並求祢讓祢的能力在軟弱的我身上顯得完全。懇求祢住在我裡面,也幫助我住在祢裡面。","神啊!我要將我的軟弱、侷限和缺點都交給祢,並求祢讓祢的能力在軟弱的我身上顯得完全。懇求祢住在我裡面,也幫助我住在祢裡面。",,,
SAY.Flowchart.72.Wizard,,"真是虔誠的女孩呢,相信神明大人也會非常高興的。","真是虔誠的女孩呢,相信神明大人也會非常高興的。",,,
SAY.Flowchart.73.Wizard,,就讓我來測試你的軟弱吧!,就讓我來測試你的軟弱吧!,,,
CHARACTER.Stella,,Stella,史黛菈,Stella,ステラ,
CHARACTER.Mia,,Mia,米婭,Mia,ミア,
CHARACTER.Elise,,Elise,伊莉絲,Elise,イリース,
CHARACTER.Wizard,,???,???,???,???,
